,names,means,spread
condition0,Text-Vis-Original,3.291139,0.6857414
condition1,Text-Vis-Slideshow,1.587302,0.4449091
condition4,Vis-Text-Original,3,0.6856033
condition5,Vis-Text-Slideshow,1.269841,0.4117813
condition4,Overall-Original,6.291139,1.361695
condition5,Overall-Slideshow,2.857143,0.8483064
