,names,means,spread
condition0,Overall-Original,533, 80
condition1,Overall-Slideshow,398, 70
condition4,Original,566, 90
condition5,Slideshow,372, 80
condition4,Original-Linking,477, 110
condition5,Slideshow-Linking,410, 100
