,names,means,spread
condition0,Overall-Original,129,26
condition1,Overall-Slideshow,117,35
condition4,Original,122, 34
condition5,Slideshow,139,48
condition4,Original-Linking,139,31
condition5,Slideshow-Linking,97,23
