,names,means,spread
condition0,Overall-Linking,659,116
condition1,Overall-NoLinking,535,85
condition4,Original-Linking,665,110
condition5,Original,545,77
condition4,Slideshow-Linking,653,130
condition5,Slideshow,525,100
